"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 10:51:41 GMT 2022","Sun Jul 03 10:51:44 GMT 2022","3695","","Test09DataSave","","Test09DataSave","testDataListSave","repetition 1 of 1","Saving guitar category list to a file"
"failed","Sun Jul 03 10:52:21 GMT 2022","Sun Jul 03 10:52:48 GMT 2022","26358","","Test08DeleteData","","Test08DeleteData","testDeleteFullAccount","repetition 1 of 1","Delete account - BUG #4 - Missing feature"
"passed","Sun Jul 03 10:53:19 GMT 2022","Sun Jul 03 10:53:25 GMT 2022","5961","","Test01Register","","Test01Register","testRegMissingData","repetition 1 of 1","Registration with missing data (USER 3)"
"passed","Sun Jul 03 10:56:19 GMT 2022","Sun Jul 03 10:56:23 GMT 2022","4489","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputIrrelevant","repetition 1 of 1","An irrelevant search"
"passed","Sun Jul 03 10:50:14 GMT 2022","Sun Jul 03 10:50:19 GMT 2022","4324","","Test04ListingData","","Test04ListingData","testListGuitarCategory","repetition 1 of 1","Listing of Guitar Category"
"passed","Sun Jul 03 10:52:55 GMT 2022","Sun Jul 03 10:53:02 GMT 2022","7028","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
"passed","Sun Jul 03 10:55:51 GMT 2022","Sun Jul 03 10:55:59 GMT 2022","7364","","Test02Login","","Test02Login","testLoginRegistered","repetition 1 of 1","Login with a registered account (USER 1)"
"failed","Sun Jul 03 10:53:25 GMT 2022","Sun Jul 03 10:53:31 GMT 2022","6399","","Test01Register","","Test01Register","testRegIncorrectChar","repetition 1 of 1","Registration with incorrect char types (USER 5) - BUG #3"
"passed","Sun Jul 03 10:53:15 GMT 2022","Sun Jul 03 10:53:19 GMT 2022","4131","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"passed","Sun Jul 03 10:52:48 GMT 2022","Sun Jul 03 10:52:55 GMT 2022","7534","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteLastN","repetition 1 of 1","Delete last name data"
