"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hangszerdiszkont.hu","","Data save","0","0","3","0","0"
"Hangszerdiszkont.hu","","Scanning a multi-page list","0","1","2","0","0"
"Hangszerdiszkont.hu","","Privacy Policy","0","0","2","0","0"
"Hangszerdiszkont.hu","Registration","Registration invalid","0","2","1","0","0"
"Hangszerdiszkont.hu","","Listing of data","0","0","3","0","0"
"Hangszerdiszkont.hu","","New Data Input","0","0","3","0","0"
"Hangszerdiszkont.hu","","Modify existing data","0","0","2","0","0"
"Hangszerdiszkont.hu","Registration","Registration valid","0","2","0","0","0"
"Hangszerdiszkont.hu","","Login Tests","0","1","3","0","0"
"Hangszerdiszkont.hu","","Logout","0","0","2","0","0"
"","","","0","1","1","0","0"
"Hangszerdiszkont.hu","Registration","Availability tests","0","0","1","0","0"
"Hangszerdiszkont.hu","","Delete Data","1","0","2","0","0"
