"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 20:45:48 GMT 2022","Fri Jul 01 20:45:58 GMT 2022","9478","","TestDataSave","","TestDataSave","TestMultiplePagesHeadphoneSave","repetition 1 of 1","Accessing headphones pages and the name of each headphones is stored in a JSON file "
"passed","Fri Jul 01 20:46:23 GMT 2022","Fri Jul 01 20:46:37 GMT 2022","13451","","TestSavingData","","TestSavingData","SteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"passed","Fri Jul 01 20:46:42 GMT 2022","Fri Jul 01 20:46:44 GMT 2022","2798","","TestPrivacyPolicy","","TestPrivacyPolicy","privacyDetailsOpen","repetition 1 of 1","Privacy Policy Open"
"broken","Fri Jul 01 20:47:46 GMT 2022","Fri Jul 01 20:47:50 GMT 2022","3326","","Test01Register","","Test01Register","testRegMissingData","repetition 1 of 1","Registration with missing data"
"passed","Fri Jul 01 20:46:20 GMT 2022","Fri Jul 01 20:46:23 GMT 2022","3028","","TestListingData","","TestListingData","testDataListStudioCategory","repetition 1 of 1","Listing of Studio Category"
"passed","Fri Jul 01 20:46:48 GMT 2022","Fri Jul 01 20:46:51 GMT 2022","2801","","TestNewDataInput","","TestNewDataInput","TestNewDataInputIrrelevant","repetition 1 of 1","An irrelevant search"
"passed","Fri Jul 01 20:45:58 GMT 2022","Fri Jul 01 20:46:01 GMT 2022","2892","","TestDataSave","","TestDataSave","TestDataListSave","repetition 1 of 1","Saving guitar category list to a file"
"passed","Fri Jul 01 20:45:37 GMT 2022","Fri Jul 01 20:45:43 GMT 2022","5589","","TestModifyExistingData","","TestModifyExistingData","TestExistDataModifyBasic","repetition 1 of 1","Modify existing account basic data"
"broken","Fri Jul 01 20:47:50 GMT 2022","Fri Jul 01 20:47:53 GMT 2022","2994","","Test01Register","","Test01Register","testRegIncorrectChar","repetition 1 of 1","Registration with incorrect char types"
"broken","Fri Jul 01 20:47:31 GMT 2022","Fri Jul 01 20:47:39 GMT 2022","8787","","Test01Register","","Test01Register","testRegEasyPassword","repetition 1 of 1","Registration with too easy password"
"passed","Fri Jul 01 20:48:38 GMT 2022","Fri Jul 01 20:48:41 GMT 2022","3618","","TestLogin","","TestLogin","testingLoginMissingEmail","repetition 1 of 1","Sign in with missing email address"
"passed","Fri Jul 01 20:46:51 GMT 2022","Fri Jul 01 20:46:54 GMT 2022","2915","","TestNewDataInput","","TestNewDataInput","TestNewDataInputSpecific","repetition 1 of 1","Search for a specific product"
"passed","Fri Jul 01 20:46:44 GMT 2022","Fri Jul 01 20:46:48 GMT 2022","3346","","TestNewDataInput","","TestNewDataInput","TestNewDataInputGeneral","repetition 1 of 1","General search"
"passed","Fri Jul 01 20:47:39 GMT 2022","Fri Jul 01 20:47:43 GMT 2022","3441","","Test01Register","","Test01Register","testRegBadEmail","repetition 1 of 1","Registration with incorrect email data"
"broken","Fri Jul 01 20:46:54 GMT 2022","Fri Jul 01 20:47:17 GMT 2022","23346","","TestPageList","","TestPageList","SteppingOnMultiplePages2","repetition 1 of 1","Accessing headphone pages"
"broken","Fri Jul 01 20:47:53 GMT 2022","Fri Jul 01 20:48:13 GMT 2022","20890","","Test01Register","","Test01Register","testRegCorrectData","repetition 1 of 1","Registration with correctly filled data"
"broken","Fri Jul 01 20:48:13 GMT 2022","Fri Jul 01 20:48:37 GMT 2022","24018","","TestLogin","","TestLogin","testingLoginUnRegistered","repetition 1 of 1","Login with an unregistered account (USER 3)"
"passed","Fri Jul 01 20:46:17 GMT 2022","Fri Jul 01 20:46:20 GMT 2022","2965","","TestListingData","","TestListingData","testDataListMicCategory","repetition 1 of 1","Listing of Microphone Category"
"passed","Fri Jul 01 20:45:06 GMT 2022","Fri Jul 01 20:45:11 GMT 2022","5196","","TestLogout","","TestLogout","testLogoutConfirm","repetition 1 of 1","Log out of the account"
"passed","Fri Jul 01 20:48:45 GMT 2022","Fri Jul 01 20:48:50 GMT 2022","4934","","TestLogin","","TestLogin","testingLoginRegistered","repetition 1 of 1","Login with a registered account (USER 1)"
"passed","Fri Jul 01 20:48:50 GMT 2022","Fri Jul 01 20:48:54 GMT 2022","4367","","TestLogin","","TestLogin","testLogout","testLogout()",""
"passed","Fri Jul 01 20:47:43 GMT 2022","Fri Jul 01 20:47:46 GMT 2022","3344","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"broken","Fri Jul 01 20:48:54 GMT 2022","Fri Jul 01 20:48:56 GMT 2022","1928","","TestDataOperations","","TestDataOperations","TestDataListSave","TestDataListSave()",""
"passed","Fri Jul 01 20:49:01 GMT 2022","Fri Jul 01 20:49:06 GMT 2022","4832","","TestDeleteData","","TestDeleteData","TestExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
