"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hangszerdiszkont.hu","","Delete Data","1","0","2","0","0"
"Hangszerdiszkont.hu","","Modify existing data","0","0","2","0","0"
"","","","0","1","1","0","0"
"Hangszerdiszkont.hu","","Logout","0","0","2","0","0"
"Hangszerdiszkont.hu","","Registration tests","0","4","1","0","0"
"Hangszerdiszkont.hu","","Scanning a multi-page list","0","0","3","0","0"
"Hangszerdiszkont.hu","","Listing of data","0","0","3","0","0"
"Hangszerdiszkont.hu","","Login Tests","0","1","3","0","0"
"Hangszerdiszkont.hu","","New Data Input","0","0","3","0","0"
"Hangszerdiszkont.hu","","Data save","0","0","3","0","0"
"Hangszerdiszkont.hu","Registration","Registration tests","1","0","0","0","0"
"Hangszerdiszkont.hu","","Privacy Policy","0","0","2","0","0"
