"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 20:33:16 GMT 2022","Sun Jul 03 20:33:30 GMT 2022","13984","","Test09DataSave","","Test09DataSave","testMultiplePagesHeadphoneSave","repetition 1 of 1","Accessing headphones pages and the name of each headphones is stored in a JSON file "
"passed","Sun Jul 03 20:37:28 GMT 2022","Sun Jul 03 20:37:37 GMT 2022","8980","","Test07ModifyExistingData","","Test07ModifyExistingData","testExistDataModifyBasic","repetition 1 of 1","Modify existing account (USER 1) basic data with (USER 2) account data"
"passed","Sun Jul 03 20:35:12 GMT 2022","Sun Jul 03 20:35:19 GMT 2022","7116","","Test01Register","","Test01Register","testRegCorrectData","repetition 1 of 1","Registration with correctly filled data (USER 1) - BUG #1"
"passed","Sun Jul 03 20:31:39 GMT 2022","Sun Jul 03 20:31:44 GMT 2022","5111","","Test04ListingData","","Test04ListingData","testListGuitarCategory","repetition 1 of 1","Listing of Guitar Category"
"passed","Sun Jul 03 20:32:38 GMT 2022","Sun Jul 03 20:32:45 GMT 2022","6840","","Test10Logout","","Test10Logout","testLogoutConfirm","repetition 1 of 1","Log out of the account"
"passed","Sun Jul 03 20:31:49 GMT 2022","Sun Jul 03 20:31:53 GMT 2022","4767","","Test04ListingData","","Test04ListingData","testListMicCategory","repetition 1 of 1","Listing of Microphone Category"
"passed","Sun Jul 03 20:34:29 GMT 2022","Sun Jul 03 20:34:37 GMT 2022","7854","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
"failed","Sun Jul 03 20:35:05 GMT 2022","Sun Jul 03 20:35:12 GMT 2022","6912","","Test01Register","","Test01Register","testRegIncorrectChar","repetition 1 of 1","Registration with incorrect char types (USER 5) - BUG #3"
"passed","Sun Jul 03 20:37:37 GMT 2022","Sun Jul 03 20:37:43 GMT 2022","6032","","Test02Login","","Test02Login","testLoginMissingPassword","repetition 1 of 1","Login with missing password (USER 1)"
"passed","Sun Jul 03 20:36:53 GMT 2022","Sun Jul 03 20:36:59 GMT 2022","5814","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyDetailsOpen","repetition 1 of 3","Privacy Policy Open"
"passed","Sun Jul 03 20:34:21 GMT 2022","Sun Jul 03 20:34:29 GMT 2022","8700","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteLastN","repetition 1 of 1","Delete last name data"
"passed","Sun Jul 03 20:33:34 GMT 2022","Sun Jul 03 20:33:54 GMT 2022","19429","","Test09DataSave","","Test09DataSave","testMultiplePagesStringSave","repetition 1 of 1","Accessing guitar string pages and the name of each string is stored in a JSON file "
"passed","Sun Jul 03 20:32:45 GMT 2022","Sun Jul 03 20:33:16 GMT 2022","30318","","Test10Logout","","Test10Logout","testLogoutCheckWishList","repetition 1 of 1","Log out of the account, and check that your account wish list is available despite the confirmation "
"passed","Sun Jul 03 20:38:16 GMT 2022","Sun Jul 03 20:38:22 GMT 2022","5412","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputIrrelevant","repetition 1 of 1","An irrelevant search"
