"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 01 21:29:27 GMT 2022","Fri Jul 01 21:29:32 GMT 2022","5277","","Test01Register","","Test01Register","testRegMissingData","repetition 1 of 1","Registration with missing data"
"passed","Fri Jul 01 21:27:34 GMT 2022","Fri Jul 01 21:27:39 GMT 2022","5278","","TestListingData","","TestListingData","testDataListMicCategory","repetition 1 of 1","Listing of Microphone Category"
"passed","Fri Jul 01 21:27:12 GMT 2022","Fri Jul 01 21:27:30 GMT 2022","18157","","TestDataSave","","TestDataSave","TestMultiplePagesStringSave","repetition 1 of 1","Accessing guitar string pages and the name of each string is stored in a JSON file "
"passed","Fri Jul 01 21:29:22 GMT 2022","Fri Jul 01 21:29:27 GMT 2022","4939","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"passed","Fri Jul 01 21:28:10 GMT 2022","Fri Jul 01 21:28:17 GMT 2022","6273","","TestPrivacyPolicy","","TestPrivacyPolicy","privacyAccepted","repetition 1 of 1","Privacy Policy Accept"
"passed","Fri Jul 01 21:26:46 GMT 2022","Fri Jul 01 21:26:55 GMT 2022","8124","","TestModifyExistingData","","TestModifyExistingData","TestExistDataModifyPassword","repetition 1 of 1","Modify existing account password data"
"broken","Fri Jul 01 21:29:48 GMT 2022","Fri Jul 01 21:29:50 GMT 2022","2917","","TestDataOperations","","TestDataOperations","TestDataListSave","TestDataListSave()",""
"passed","Fri Jul 01 21:30:58 GMT 2022","Fri Jul 01 21:31:04 GMT 2022","5670","","Test02Login","","Test02Login","testingLoginMissingEmail","repetition 1 of 1","Sign in with missing email address"
"passed","Fri Jul 01 21:31:17 GMT 2022","Fri Jul 01 21:31:23 GMT 2022","6334","","Test02Login","","Test02Login","testLogout","testLogout()",""
"broken","Fri Jul 01 21:29:42 GMT 2022","Fri Jul 01 21:29:48 GMT 2022","5246","","Test01Register","","Test01Register","testRegCorrectData","repetition 1 of 1","Registration with correctly filled data"
"passed","Fri Jul 01 21:28:21 GMT 2022","Fri Jul 01 21:28:25 GMT 2022","4636","","TestNewDataInput","","TestNewDataInput","TestNewDataInputGeneral","repetition 1 of 1","General search"
"passed","Fri Jul 01 21:27:45 GMT 2022","Fri Jul 01 21:28:10 GMT 2022","25180","","TestSavingData","","TestSavingData","SteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"failed","Fri Jul 01 21:30:05 GMT 2022","Fri Jul 01 21:30:32 GMT 2022","26797","","TestDeleteData","","TestDeleteData","TestDeleteFullAccount","repetition 1 of 1","Delete account"
