"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 09:03:07 GMT 2022","Sun Jul 03 09:03:37 GMT 2022","29998","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyAccepted","repetition 2 of 3","Privacy Policy Accept"
"passed","Sun Jul 03 09:04:53 GMT 2022","Sun Jul 03 09:05:01 GMT 2022","7299","","Test02Login","","Test02Login","testLoginRegistered","repetition 1 of 1","Login with a registered account (USER 1)"
"passed","Sun Jul 03 08:59:47 GMT 2022","Sun Jul 03 08:59:59 GMT 2022","12474","","Test05MultiPageList","","Test05MultiPageList","testSteppingOnMultiplePages2","repetition 1 of 1","Accessing headphone pages"
"passed","Sun Jul 03 09:04:12 GMT 2022","Sun Jul 03 09:04:17 GMT 2022","4550","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyDetailsOpen","repetition 2 of 3","Privacy Policy Open"
"passed","Sun Jul 03 09:02:09 GMT 2022","Sun Jul 03 09:02:15 GMT 2022","5683","","Test01Register","","Test01Register","testRegBadEmail","repetition 1 of 1","Registration with incorrect email data (USER 2)"
"passed","Sun Jul 03 09:02:37 GMT 2022","Sun Jul 03 09:03:07 GMT 2022","29716","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyAccepted","repetition 1 of 3","Privacy Policy Accept"
"passed","Sun Jul 03 08:59:43 GMT 2022","Sun Jul 03 08:59:47 GMT 2022","3754","","Test04ListingData","","Test04ListingData","testListMicCategory","repetition 1 of 1","Listing of Microphone Category"
"passed","Sun Jul 03 09:00:23 GMT 2022","Sun Jul 03 09:00:51 GMT 2022","28148","","Test10Logout","","Test10Logout","testLogoutCheckWishList","repetition 1 of 1","Log out of the account, and check that your account wish list is available despite the confirmation "
"passed","Sun Jul 03 09:04:39 GMT 2022","Sun Jul 03 09:04:48 GMT 2022","8487","","Test07ModifyExistingData","","Test07ModifyExistingData","testExistDataModifyBasic","repetition 1 of 1","Modify existing account (USER 1) basic data with (USER 2) account data"
"passed","Sun Jul 03 09:04:07 GMT 2022","Sun Jul 03 09:04:12 GMT 2022","5258","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyDetailsOpen","repetition 1 of 3","Privacy Policy Open"
"passed","Sun Jul 03 09:05:11 GMT 2022","Sun Jul 03 09:05:16 GMT 2022","4734","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputSpecific","repetition 1 of 1","Search for a specific product"
"passed","Sun Jul 03 08:59:39 GMT 2022","Sun Jul 03 08:59:43 GMT 2022","4101","","Test04ListingData","","Test04ListingData","testListStudioCategory","repetition 1 of 1","Listing of Studio Category"
"passed","Sun Jul 03 09:04:48 GMT 2022","Sun Jul 03 09:04:53 GMT 2022","5452","","Test02Login","","Test02Login","testLoginMissingPassword","repetition 1 of 1","Login with missing password (USER 1)"
"passed","Sun Jul 03 09:01:56 GMT 2022","Sun Jul 03 09:02:03 GMT 2022","7082","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
"passed","Sun Jul 03 09:01:02 GMT 2022","Sun Jul 03 09:01:06 GMT 2022","3579","","Test09DataSave","","Test09DataSave","testDataListSave","repetition 1 of 1","Saving guitar category list to a file"
"passed","Sun Jul 03 09:02:19 GMT 2022","Sun Jul 03 09:02:25 GMT 2022","5884","","Test01Register","","Test01Register","testRegMissingData","repetition 1 of 1","Registration with missing data (USER 3)"
"passed","Sun Jul 03 09:00:16 GMT 2022","Sun Jul 03 09:00:23 GMT 2022","6657","","Test10Logout","","Test10Logout","testLogoutConfirm","repetition 1 of 1","Log out of the account"
"passed","Sun Jul 03 09:04:22 GMT 2022","Sun Jul 03 09:04:39 GMT 2022","17654","","Test07ModifyExistingData","","Test07ModifyExistingData","testExistDataModifyPassword","repetition 1 of 1","Modify existing account (USER 4) password data with (USER 3) account data and at the end we restore it "
"passed","Sun Jul 03 09:04:17 GMT 2022","Sun Jul 03 09:04:22 GMT 2022","4985","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyDetailsOpen","repetition 3 of 3","Privacy Policy Open"
"failed","Sun Jul 03 09:02:25 GMT 2022","Sun Jul 03 09:02:31 GMT 2022","6095","","Test01Register","","Test01Register","testRegIncorrectChar","repetition 1 of 1","Registration with incorrect char types (USER 5) - BUG #3"
"passed","Sun Jul 03 09:05:01 GMT 2022","Sun Jul 03 09:05:06 GMT 2022","5496","","Test02Login","","Test02Login","testLoginUnRegistered","repetition 1 of 1","Login with an unregistered account (USER 3)"
"passed","Sun Jul 03 09:01:06 GMT 2022","Sun Jul 03 09:01:21 GMT 2022","15582","","Test09DataSave","","Test09DataSave","testMultiplePagesStringSave","repetition 1 of 1","Accessing guitar string pages and the name of each string is stored in a JSON file "
"passed","Sun Jul 03 09:05:06 GMT 2022","Sun Jul 03 09:05:11 GMT 2022","5384","","Test02Login","","Test02Login","testLoginMissingEmail","repetition 1 of 1","Sign in with missing email address (USER 1)"
"passed","Sun Jul 03 09:05:21 GMT 2022","Sun Jul 03 09:05:26 GMT 2022","4695","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputIrrelevant","repetition 1 of 1","An irrelevant search"
"passed","Sun Jul 03 09:05:16 GMT 2022","Sun Jul 03 09:05:21 GMT 2022","5090","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputGeneral","repetition 1 of 1","General search"
"failed","Sun Jul 03 09:01:21 GMT 2022","Sun Jul 03 09:01:47 GMT 2022","26153","","Test08DeleteData","","Test08DeleteData","testDeleteFullAccount","repetition 1 of 1","Delete account - BUG #4 - Missing feature"
"passed","Sun Jul 03 08:59:59 GMT 2022","Sun Jul 03 09:00:16 GMT 2022","17023","","Test05MultiPageList","","Test05MultiPageList","testSteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"passed","Sun Jul 03 09:01:47 GMT 2022","Sun Jul 03 09:01:56 GMT 2022","8061","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteLastN","repetition 1 of 1","Delete last name data"
"passed","Sun Jul 03 09:02:31 GMT 2022","Sun Jul 03 09:02:37 GMT 2022","6339","","Test01Register","","Test01Register","testRegCorrectData","repetition 1 of 1","Registration with correctly filled data (USER 1) - BUG #1"
"failed","Sun Jul 03 09:02:03 GMT 2022","Sun Jul 03 09:02:09 GMT 2022","6655","","Test01Register","","Test01Register","testRegEasyPassword","repetition 1 of 1","Registration with too easy password (USER 4) - BUG #2"
"passed","Sun Jul 03 08:59:35 GMT 2022","Sun Jul 03 08:59:39 GMT 2022","4190","","Test04ListingData","","Test04ListingData","testListGuitarCategory","repetition 1 of 1","Listing of Guitar Category"
