"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 01 19:33:25 GMT 2022","Fri Jul 01 19:33:29 GMT 2022","3554","","TestListingData","","TestListingData","testDataListStudioCategory","repetition 1 of 1","Listing of Studio Category"
"passed","Fri Jul 01 19:36:00 GMT 2022","Fri Jul 01 19:36:08 GMT 2022","7258","","TestLogin","","TestLogin","testingLoginMissingPassword","repetition 1 of 1","Login with missing password"
"passed","Fri Jul 01 19:32:34 GMT 2022","Fri Jul 01 19:32:40 GMT 2022","6349","","TestModifyExistingData","","TestModifyExistingData","TestExistDataModifyBasic","repetition 1 of 1","Modify existing account basic data"
"broken","Fri Jul 01 19:34:45 GMT 2022","Fri Jul 01 19:34:54 GMT 2022","9768","","Test01Register","","Test01Register","testingRegistrationEasyPassword","repetition 1 of 1","Registration with too easy password"
"passed","Fri Jul 01 19:35:00 GMT 2022","Fri Jul 01 19:35:05 GMT 2022","5025","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"passed","Fri Jul 01 19:34:07 GMT 2022","Fri Jul 01 19:34:21 GMT 2022","13742","","TestPageList","","TestPageList","SteppingOnMultiplePages2","repetition 1 of 1","Accessing headphone pages"
"passed","Fri Jul 01 19:35:54 GMT 2022","Fri Jul 01 19:36:00 GMT 2022","5964","","TestLogin","","TestLogin","testingLoginMissingEmail","repetition 1 of 1","Sign in with missing email address"
"passed","Fri Jul 01 19:34:54 GMT 2022","Fri Jul 01 19:35:00 GMT 2022","5304","","Test01Register","","Test01Register","testingRegistrationBadEmail","repetition 1 of 1","Registration with incorrect email data"
"passed","Fri Jul 01 19:33:29 GMT 2022","Fri Jul 01 19:33:45 GMT 2022","15994","","TestSavingData","","TestSavingData","SteppingOnMultiplePages","repetition 1 of 1","Accessing guitar string pages"
"broken","Fri Jul 01 19:35:05 GMT 2022","Fri Jul 01 19:35:10 GMT 2022","5618","","Test01Register","","Test01Register","testingRegistrationMissingData","repetition 1 of 1","Registration with missing data"
