"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 20:48:18 GMT 2022","Sun Jul 03 20:48:24 GMT 2022","5075","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputGeneral","repetition 1 of 1","General search"
"passed","Sun Jul 03 20:43:29 GMT 2022","Sun Jul 03 20:43:57 GMT 2022","27892","","Test10Logout","","Test10Logout","testLogoutCheckWishList","repetition 1 of 1","Log out of the account, and check that your account wish list is available despite the confirmation "
"passed","Sun Jul 03 20:45:42 GMT 2022","Sun Jul 03 20:46:12 GMT 2022","29617","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyAccepted","repetition 1 of 3","Privacy Policy Accept"
"passed","Sun Jul 03 20:48:13 GMT 2022","Sun Jul 03 20:48:18 GMT 2022","5384","","Test06NewDataInput","","Test06NewDataInput","testNewDataInputSpecific","repetition 1 of 1","Search for a specific product"
"passed","Sun Jul 03 20:45:02 GMT 2022","Sun Jul 03 20:45:08 GMT 2022","6801","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteFirstN","repetition 1 of 1","Delete first name data"
"passed","Sun Jul 03 20:48:08 GMT 2022","Sun Jul 03 20:48:13 GMT 2022","5525","","Test02Login","","Test02Login","testLoginMissingEmail","repetition 1 of 1","Sign in with missing email address (USER 1)"
"passed","Sun Jul 03 20:43:23 GMT 2022","Sun Jul 03 20:43:29 GMT 2022","6342","","Test10Logout","","Test10Logout","testLogoutConfirm","repetition 1 of 1","Log out of the account"
"passed","Sun Jul 03 20:44:13 GMT 2022","Sun Jul 03 20:44:28 GMT 2022","15007","","Test09DataSave","","Test09DataSave","testMultiplePagesStringSave","repetition 1 of 1","Accessing guitar string pages and the name of each string is stored in a JSON file "
"passed","Sun Jul 03 20:44:09 GMT 2022","Sun Jul 03 20:44:13 GMT 2022","4020","","Test09DataSave","","Test09DataSave","testDataListSave","repetition 1 of 1","Saving guitar category list to a file"
"failed","Sun Jul 03 20:45:08 GMT 2022","Sun Jul 03 20:45:14 GMT 2022","5964","","Test01Register","","Test01Register","testRegEasyPassword","repetition 1 of 1","Registration with too easy password (USER 4) - BUG #2"
"passed","Sun Jul 03 20:46:12 GMT 2022","Sun Jul 03 20:46:41 GMT 2022","29409","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyAccepted","repetition 2 of 3","Privacy Policy Accept"
"passed","Sun Jul 03 20:45:24 GMT 2022","Sun Jul 03 20:45:29 GMT 2022","5748","","Test01Register","","Test01Register","testRegMissingData","repetition 1 of 1","Registration with missing data (USER 3)"
"passed","Sun Jul 03 20:44:54 GMT 2022","Sun Jul 03 20:45:02 GMT 2022","7439","","Test08DeleteData","","Test08DeleteData","testExistDataDeleteLastN","repetition 1 of 1","Delete last name data"
"failed","Sun Jul 03 20:44:28 GMT 2022","Sun Jul 03 20:44:54 GMT 2022","25747","","Test08DeleteData","","Test08DeleteData","testDeleteFullAccount","repetition 1 of 1","Delete account - BUG #4 - Missing feature"
"passed","Sun Jul 03 20:45:20 GMT 2022","Sun Jul 03 20:45:24 GMT 2022","3665","","Test01Register","","Test01Register","testSiteAvailability","repetition 1 of 1","To check if the page is available"
"passed","Sun Jul 03 20:46:41 GMT 2022","Sun Jul 03 20:47:10 GMT 2022","29442","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyAccepted","repetition 3 of 3","Privacy Policy Accept"
"passed","Sun Jul 03 20:47:22 GMT 2022","Sun Jul 03 20:47:27 GMT 2022","4946","","Test03PrivacyPolicy","","Test03PrivacyPolicy","testPrivacyDetailsOpen","repetition 3 of 3","Privacy Policy Open"
"passed","Sun Jul 03 20:47:47 GMT 2022","Sun Jul 03 20:47:54 GMT 2022","6297","","Test02Login","","Test02Login","testLoginMissingPassword","repetition 1 of 1","Login with missing password (USER 1)"
"passed","Sun Jul 03 20:45:36 GMT 2022","Sun Jul 03 20:45:42 GMT 2022","5909","","Test01Register","","Test01Register","testRegCorrectData","repetition 1 of 1","Registration with correctly filled data (USER 1) - BUG #1"
"passed","Sun Jul 03 20:42:48 GMT 2022","Sun Jul 03 20:42:52 GMT 2022","4010","","Test04ListingData","","Test04ListingData","testListStudioCategory","repetition 1 of 1","Listing of Studio Category"
